annee;date;site;pontes;pontes_correction;traces;mission;modalite;nb_ilots;comptage;date_debut;date_fin;nb_jours
2019;01/01/2020-22/01/2020;nouare;0;0;0;8;ponctuel;1;0;01/01/2020;22/01/2020;21
2019;02/01/2020-23/01/2020;pumbo;0;0;2;8;ponctuel;1;0;02/01/2020;23/01/2020;21
2019;06/11/2019-27/11/2019;tere;0;0;0;1;ponctuel;1;0;06/11/2019;27/11/2019;21
2019;28/11/2019-05/12/2019;tere;0;0;0;2;ponctuel;1;1;28/11/2019;05/12/2019;7
2019;01/01/2020-22/01/2020;ua;5;7;7;8;ponctuel;1;0;01/01/2020;22/01/2020;21
2019;23/01/2020-28/01/2020;ua;3;3;4;9;ponctuel;1;1;23/01/2020;28/01/2020;5
2019;01/01/2020-22/01/2020;ugo;0;0;0;8;ponctuel;1;0;01/01/2020;22/01/2020;21
2019;14/11/2019-05/12/2019;vua;3;4;10;2;ponctuel;1;0;14/11/2019;05/12/2019;21
2019;06/11/2019-28/11/2019;RAPPROCHE_all;8;11;36;1;rapproche;8;0;06/11/2019;28/11/2019;22
2019;29/11/2019-05/12/2019;RAPPROCHE_all;12;12;57;2;rapproche;8;1;29/11/2019;05/12/2019;6
2019;12/12/2019-03/01/2020;RAPPROCHE_all;42;59;151;5;rapproche;11;0;12/12/2019;03/01/2020;22
2019;04/01/2020-17/01/2020;RAPPROCHE_all;19;22;36;7;rapproche;10;0;04/01/2020;17/01/2020;13
2019;18/01/2020-29/01/2020;RAPPROCHE_all;24;27;48;9;rapproche;11;1;18/01/2020;29/01/2020;11
2020;02/12/2020-23/12/2020;mato;0;0;2;3;ponctuel;1;0;02/12/2020;23/12/2020;21
2020;24/12/2020-07/01/2021;mato;1;1;5;6;ponctuel;1;1;24/12/2020;07/01/2021;14
2020;01/12/2020-22/12/2020;mbore;2;3;2;3;ponctuel;1;0;01/12/2020;22/12/2020;21
2020;23/12/2020-07/01/2021;mbore;0;0;0;6;ponctuel;1;1;23/12/2020;07/01/2021;15
2020;01/12/2020-22/12/2020;ndo;1;1;2;3;ponctuel;1;0;01/12/2020;22/12/2020;21
2020;23/12/2020-07/01/2021;ndo;2;2;5;6;ponctuel;1;1;23/12/2020;07/01/2021;15
2020;07/11/2020-28/11/2020;atire;1;1;2;1;rapproche;1;0;07/11/2020;28/11/2020;21
2020;29/11/2020-09/12/2020;atire;6;7;10;2;rapproche;1;1;29/11/2020;09/12/2020;10
2020;10/12/2020-23/12/2020;atire;9;11;11;4;rapproche;1;1;10/12/2020;23/12/2020;13
2020;24/12/2020-05/01/2021;atire;6;7;15;5;rapproche;1;1;24/12/2020;05/01/2021;12
2020;06/01/2021-20/01/2021;atire;12;14;17;7;rapproche;1;1;06/01/2021;20/01/2021;14
2020;21/01/2021-07/02/2021;atire;7;9;10;8;rapproche;1;0;21/01/2021;07/02/2021;17
2020;08/11/2020-29/11/2020;gi;3;4;3;1;rapproche;1;0;08/11/2020;29/11/2020;21
2020;30/11/2020-08/12/2020;gi;1;1;7;2;rapproche;1;1;30/11/2020;08/12/2020;8
2020;09/12/2020-22/12/2020;gi;4;5;7;4;rapproche;1;1;09/12/2020;22/12/2020;13
2020;23/12/2020-04/01/2021;gi;4;5;11;5;rapproche;1;1;23/12/2020;04/01/2021;12
2020;16/01/2021-06/02/2021;gi;1;1;1;8;rapproche;1;0;16/01/2021;06/02/2021;21
2020;01/10/2020-15/10/2020;GLS_outseason;0;0;0;100;out_season;24;1;01/10/2020;15/10/2020;14
2020;16/10/2020-06/11/2020;GLS_outseason;0;0;0;101;out_season;24;1;16/10/2020;06/11/2020;21
2020;01/05/2021-22/05/2021;GLS_outseason;0;0;0;102;out_season;24;1;01/05/2021;22/05/2021;21
2020;23/05/2021-13/06/2021;GLS_outseason;0;0;0;103;out_season;24;1;23/05/2021;13/06/2021;21
2020;07/11/2020-28/11/2020;ieroue;1;1;1;1;rapproche;1;0;07/11/2020;28/11/2020;21
2020;29/11/2020-08/12/2020;ieroue;0;0;0;2;rapproche;1;1;29/11/2020;08/12/2020;9
2020;09/12/2020-23/12/2020;ieroue;1;1;2;4;rapproche;1;1;09/12/2020;23/12/2020;14
2020;24/12/2020-05/01/2021;ieroue;2;2;3;5;rapproche;1;1;24/12/2020;05/01/2021;12
2020;06/01/2021-19/01/2021;ieroue;1;1;1;7;rapproche;1;1;06/01/2021;19/01/2021;13
2020;20/01/2021-06/02/2021;ieroue;0;0;1;8;rapproche;1;0;20/01/2021;06/02/2021;17
2020;07/11/2020-28/11/2020;kouare;2;3;5;1;rapproche;1;0;07/11/2020;28/11/2020;21
2020;29/11/2020-09/12/2020;kouare;4;4;12;2;rapproche;1;1;29/11/2020;09/12/2020;10
2020;10/12/2020-23/12/2020;kouare;3;4;5;4;rapproche;1;1;10/12/2020;23/12/2020;13
2020;24/12/2020-04/01/2021;kouare;6;7;9;5;rapproche;1;1;24/12/2020;04/01/2021;11
2020;05/01/2021-20/01/2021;kouare;7;9;8;7;rapproche;1;1;05/01/2021;20/01/2021;15
2020;21/01/2021-07/02/2021;kouare;2;3;2;8;rapproche;1;0;21/01/2021;07/02/2021;17
2020;07/11/2020-28/11/2020;nda;2;3;10;1;rapproche;1;0;07/11/2020;28/11/2020;21
2020;29/11/2020-09/12/2020;nda;1;1;3;2;rapproche;1;1;29/11/2020;09/12/2020;10
2020;10/12/2020-23/12/2020;nda;0;0;1;4;rapproche;1;1;10/12/2020;23/12/2020;13
2020;24/12/2020-04/01/2021;nda;2;2;6;5;rapproche;1;1;24/12/2020;04/01/2021;11
2020;05/01/2021-20/01/2021;nda;4;5;5;7;rapproche;1;1;05/01/2021;20/01/2021;15
2020;21/01/2021-06/02/2021;nda;1;1;3;8;rapproche;1;0;21/01/2021;06/02/2021;16
2020;07/11/2020-28/11/2020;nge;1;1;6;1;rapproche;1;0;07/11/2020;28/11/2020;21
2020;29/11/2020-08/12/2020;nge;5;5;15;2;rapproche;1;1;29/11/2020;08/12/2020;9
2020;09/12/2020-23/12/2020;nge;5;6;16;4;rapproche;1;1;09/12/2020;23/12/2020;14
2020;24/12/2020-05/01/2021;nge;1;1;6;5;rapproche;1;1;24/12/2020;05/01/2021;12
2020;06/01/2021-19/01/2021;nge;5;6;9;7;rapproche;1;1;06/01/2021;19/01/2021;13
2020;20/01/2021-06/02/2021;nge;0;0;2;8;rapproche;1;0;20/01/2021;06/02/2021;17
2020;08/11/2020-29/11/2020;redika;1;1;3;1;rapproche;1;0;08/11/2020;29/11/2020;21
2020;30/11/2020-08/12/2020;redika;0;0;1;2;rapproche;1;1;30/11/2020;08/12/2020;8
2020;09/12/2020-22/12/2020;redika;0;0;0;4;rapproche;1;1;09/12/2020;22/12/2020;13
2020;23/12/2020-05/01/2021;redika;0;0;4;5;rapproche;1;1;23/12/2020;05/01/2021;13
2020;06/01/2021-19/01/2021;redika;0;0;1;7;rapproche;1;1;06/01/2021;19/01/2021;13
2020;20/01/2021-06/02/2021;redika;0;0;0;8;rapproche;1;0;20/01/2021;06/02/2021;17
2020;07/11/2020-28/11/2020;tere;0;0;0;1;rapproche;1;0;07/11/2020;28/11/2020;21
2020;29/11/2020-09/12/2020;tere;0;0;0;2;rapproche;1;1;29/11/2020;09/12/2020;10
2020;10/12/2020-23/12/2020;tere;0;0;0;4;rapproche;1;1;10/12/2020;23/12/2020;13
2020;24/12/2020-04/01/2021;tere;0;0;0;5;rapproche;1;1;24/12/2020;04/01/2021;11
2020;05/01/2021-20/01/2021;tere;0;0;0;7;rapproche;1;1;05/01/2021;20/01/2021;15
2020;21/01/2021-06/02/2021;tere;0;0;0;8;rapproche;1;0;21/01/2021;06/02/2021;16
2020;08/11/2020-29/11/2020;ua;1;1;1;1;rapproche;1;0;08/11/2020;29/11/2020;21
2020;30/11/2020-08/12/2020;ua;0;0;0;2;rapproche;1;1;30/11/2020;08/12/2020;8
2020;09/12/2020-22/12/2020;ua;0;0;0;4;rapproche;1;1;09/12/2020;22/12/2020;13
2020;23/12/2020-04/01/2021;ua;0;0;0;5;rapproche;1;1;23/12/2020;04/01/2021;12
2020;05/01/2021-19/01/2021;ua;0;0;0;7;rapproche;1;1;05/01/2021;19/01/2021;14
2020;20/01/2021-06/02/2021;ua;0;0;0;8;rapproche;1;0;20/01/2021;06/02/2021;17
2020;08/11/2020-29/11/2020;uaterembi;0;0;0;1;rapproche;1;0;08/11/2020;29/11/2020;21
2020;30/11/2020-08/12/2020;uaterembi;1;1;7;2;rapproche;1;1;30/11/2020;08/12/2020;8
2020;09/12/2020-22/12/2020;uaterembi;2;2;11;4;rapproche;1;1;09/12/2020;22/12/2020;13
2020;23/12/2020-04/01/2021;uaterembi;3;3;9;5;rapproche;1;1;23/12/2020;04/01/2021;12
2020;05/01/2021-19/01/2021;uaterembi;4;5;9;7;rapproche;1;1;05/01/2021;19/01/2021;14
2020;20/01/2021-06/02/2021;uaterembi;2;3;4;8;rapproche;1;0;20/01/2021;06/02/2021;17
2020;08/11/2020-29/11/2020;uatio;2;3;5;1;rapproche;1;0;08/11/2020;29/11/2020;21
2020;30/11/2020-08/12/2020;uatio;0;0;3;2;rapproche;1;1;30/11/2020;08/12/2020;8
2020;09/12/2020-22/12/2020;uatio;0;0;3;4;rapproche;1;1;09/12/2020;22/12/2020;13
2020;23/12/2020-04/01/2021;uatio;1;1;8;5;rapproche;1;1;23/12/2020;04/01/2021;12
2020;05/01/2021-19/01/2021;uatio;0;0;4;7;rapproche;1;1;05/01/2021;19/01/2021;14
2020;20/01/2021-06/02/2021;uatio;0;0;0;8;rapproche;1;0;20/01/2021;06/02/2021;17
2020;07/11/2020-28/11/2020;vua;1;1;3;1;rapproche;1;0;07/11/2020;28/11/2020;21
2020;29/11/2020-09/12/2020;vua;1;1;3;2;rapproche;1;1;29/11/2020;09/12/2020;10
2020;02/12/2020-23/12/2020;noe;0;0;0;3;ponctuel;1;0;02/12/2020;23/12/2020;21
2020;24/12/2020-08/01/2021;noe;0;0;0;6;ponctuel;1;1;24/12/2020;08/01/2021;15
2020;02/12/2020-23/12/2020;nouare;0;0;2;3;ponctuel;1;0;02/12/2020;23/12/2020;21
2020;01/12/2020-22/12/2020;petit koko;0;0;0;3;ponctuel;1;0;01/12/2020;22/12/2020;21
2020;23/12/2020-07/01/2021;petit koko;0;0;0;6;ponctuel;1;1;23/12/2020;07/01/2021;15
2020;02/12/2020-23/12/2020;puemba;1;1;1;3;ponctuel;1;0;02/12/2020;23/12/2020;21
2020;24/12/2020-08/01/2021;puemba;2;2;2;6;ponctuel;1;1;24/12/2020;08/01/2021;15
2020;02/12/2020-23/12/2020;pumbo;0;0;1;3;ponctuel;1;0;02/12/2020;23/12/2020;21
2020;24/12/2020-08/01/2021;pumbo;1;1;2;6;ponctuel;1;1;24/12/2020;08/01/2021;15
2020;10/12/2020-22/12/2020;vua;5;6;8;4;rapproche;1;1;10/12/2020;22/12/2020;12
2020;23/12/2020-05/01/2021;vua;6;7;13;5;rapproche;1;1;23/12/2020;05/01/2021;13
2020;06/01/2021-19/01/2021;vua;6;7;14;7;rapproche;1;1;06/01/2021;19/01/2021;13
2020;21/01/2021-06/02/2021;vua;1;1;2;8;rapproche;1;0;21/01/2021;06/02/2021;16
2020;01/12/2020-22/12/2020;totea;1;1;2;3;ponctuel;1;0;01/12/2020;22/12/2020;21
2020;23/12/2020-07/01/2021;totea;2;2;3;6;ponctuel;1;1;23/12/2020;07/01/2021;15
2020;02/12/2020-23/12/2020;ugo;0;0;0;3;ponctuel;1;0;02/12/2020;23/12/2020;21
2020;24/12/2020-08/01/2021;ugo;0;0;0;6;ponctuel;1;1;24/12/2020;08/01/2021;15
2020;01/12/2020-22/12/2020;uie;1;1;2;3;ponctuel;1;0;01/12/2020;22/12/2020;21
2020;23/12/2020-07/01/2021;uie;2;2;4;6;ponctuel;1;1;23/12/2020;07/01/2021;15
2020;01/12/2020-22/12/2020;uo;0;0;0;3;ponctuel;1;0;01/12/2020;22/12/2020;21
2020;23/12/2020-07/01/2021;uo;0;0;0;6;ponctuel;1;1;23/12/2020;07/01/2021;15
2020;07/11/2020-29/11/2020;RAPPROCHE_all;15;21;39;1;rapproche;12;0;07/11/2020;29/11/2020;22
2020;30/11/2020-09/12/2020;RAPPROCHE_all;19;20;61;2;rapproche;12;1;30/11/2020;09/12/2020;9
2020;10/12/2020-23/12/2020;RAPPROCHE_all;29;34;64;4;rapproche;12;1;10/12/2020;23/12/2020;13
2020;24/12/2020-05/01/2021;RAPPROCHE_all;31;36;84;5;rapproche;12;1;24/12/2020;05/01/2021;12
2020;06/01/2021-20/01/2021;RAPPROCHE_all;39;47;68;7;rapproche;11;1;06/01/2021;20/01/2021;14
2020;21/01/2021-07/02/2021;RAPPROCHE_all;14;18;25;8;rapproche;12;0;21/01/2021;07/02/2021;17
2021;25/11/2021-16/12/2021;mato;2;3;4;3;ponctuel;1;0;25/11/2021;16/12/2021;21
2021;17/12/2021-29/12/2021;mato;1;1;4;5;ponctuel;1;1;17/12/2021;29/12/2021;12
2021;26/11/2021-17/12/2021;mbore;1;1;1;3;ponctuel;1;0;26/11/2021;17/12/2021;21
2021;18/12/2021-30/12/2021;mbore;0;0;0;5;ponctuel;1;1;18/12/2021;30/12/2021;12
2021;26/11/2021-17/12/2021;ndo;2;3;2;3;ponctuel;1;0;26/11/2021;17/12/2021;21
2021;18/12/2021-30/12/2021;ndo;1;1;4;5;ponctuel;1;1;18/12/2021;30/12/2021;12
2021;25/11/2021-16/12/2021;noe;0;0;0;3;ponctuel;1;0;25/11/2021;16/12/2021;21
2021;17/12/2021-29/12/2021;noe;2;2;2;5;ponctuel;1;1;17/12/2021;29/12/2021;12
2021;25/11/2021-16/12/2021;nouare;1;1;3;3;ponctuel;1;0;25/11/2021;16/12/2021;21
2021;17/12/2021-29/12/2021;nouare;0;0;0;5;ponctuel;1;1;17/12/2021;29/12/2021;12
2021;26/11/2021-17/12/2021;petit koko;0;0;1;3;ponctuel;1;0;26/11/2021;17/12/2021;21
2021;18/12/2021-30/12/2021;petit koko;1;1;1;5;ponctuel;1;1;18/12/2021;30/12/2021;12
2021;25/11/2021-16/12/2021;puemba;1;1;1;3;ponctuel;1;0;25/11/2021;16/12/2021;21
2021;17/12/2021-29/12/2021;puemba;2;2;2;5;ponctuel;1;1;17/12/2021;29/12/2021;12
2021;25/11/2021-16/12/2021;pumbo;0;0;0;3;ponctuel;1;0;25/11/2021;16/12/2021;21
2021;17/12/2021-29/12/2021;pumbo;1;1;0;5;ponctuel;1;1;17/12/2021;29/12/2021;12
2021;27/10/2021-17/11/2021;atire;1;1;2;1;rapproche;1;0;27/10/2021;17/11/2021;21
2021;28/10/2021-18/11/2021;gi;4;5;6;1;rapproche;1;0;28/10/2021;18/11/2021;21
2021;27/10/2021-17/11/2021;ieroue;0;0;0;1;rapproche;1;0;27/10/2021;17/11/2021;21
2021;27/10/2021-17/11/2021;kouare;0;0;0;1;rapproche;1;0;27/10/2021;17/11/2021;21
2021;27/10/2021-17/11/2021;nda;0;0;0;1;rapproche;1;0;27/10/2021;17/11/2021;21
2021;27/10/2021-17/11/2021;nge;2;3;5;1;rapproche;1;0;27/10/2021;17/11/2021;21
2021;28/10/2021-18/11/2021;redika;0;0;0;1;rapproche;1;0;28/10/2021;18/11/2021;21
2021;27/10/2021-17/11/2021;tere;0;0;0;1;rapproche;1;0;27/10/2021;17/11/2021;21
2021;28/10/2021-18/11/2021;ua;0;0;0;1;rapproche;1;0;28/10/2021;18/11/2021;21
2021;28/10/2021-18/11/2021;uaterembi;0;0;0;1;rapproche;1;0;28/10/2021;18/11/2021;21
2021;28/10/2021-18/11/2021;uatio;0;0;0;1;rapproche;1;0;28/10/2021;18/11/2021;21
2021;27/10/2021-17/11/2021;vua;1;1;3;1;rapproche;1;0;27/10/2021;17/11/2021;21
2021;27/10/2021-18/11/2021;RAPPROCHE_all;8;11;16;1;rapproche;12;0;27/10/2021;18/11/2021;22
2021;18/11/2021-08/12/2021;atire;6;8;10;2;rapproche;1;1;18/11/2021;08/12/2021;20
2021;19/11/2021-07/12/2021;gi;7;9;17;2;rapproche;1;1;19/11/2021;07/12/2021;18
2021;01/10/2021-22/10/2021;GLS_outseason;0;0;0;100;out_season;24;1;01/10/2021;22/10/2021;21
2021;23/10/2021-26/10/2021;GLS_outseason;0;0;0;101;out_season;24;1;23/10/2021;26/10/2021;3
2021;01/05/2022-22/05/2022;GLS_outseason;0;0;0;102;out_season;24;1;01/05/2022;22/05/2022;21
2021;23/05/2022-13/06/2022;GLS_outseason;0;0;0;103;out_season;24;1;23/05/2022;13/06/2022;21
2021;18/11/2021-08/12/2021;ieroue;1;1;1;2;rapproche;1;1;18/11/2021;08/12/2021;20
2021;18/11/2021-07/12/2021;kouare;1;1;3;2;rapproche;1;1;18/11/2021;07/12/2021;19
2021;18/11/2021-07/12/2021;nda;3;4;6;2;rapproche;1;1;18/11/2021;07/12/2021;19
2021;18/11/2021-07/12/2021;nge;12;16;19;2;rapproche;1;1;18/11/2021;07/12/2021;19
2021;19/11/2021-08/12/2021;redika;4;5;4;2;rapproche;1;1;19/11/2021;08/12/2021;19
2021;18/11/2021-07/12/2021;tere;0;0;0;2;rapproche;1;1;18/11/2021;07/12/2021;19
2021;19/11/2021-08/12/2021;ua;0;0;0;2;rapproche;1;1;19/11/2021;08/12/2021;19
2021;19/11/2021-07/12/2021;uaterembi;7;9;16;2;rapproche;1;1;19/11/2021;07/12/2021;18
2021;19/11/2021-08/12/2021;uatio;3;4;3;2;rapproche;1;1;19/11/2021;08/12/2021;19
2021;26/11/2021-17/12/2021;totea;5;7;8;3;ponctuel;1;0;26/11/2021;17/12/2021;21
2021;18/12/2021-30/12/2021;totea;0;0;4;5;ponctuel;1;1;18/12/2021;30/12/2021;12
2021;25/11/2021-16/12/2021;ugo;0;0;0;3;ponctuel;1;0;25/11/2021;16/12/2021;21
2021;18/11/2021-07/12/2021;vua;6;8;10;2;rapproche;1;1;18/11/2021;07/12/2021;19
2021;19/11/2021-08/12/2021;RAPPROCHE_all;50;66;89;2;rapproche;12;1;19/11/2021;08/12/2021;19
2021;09/12/2021-21/12/2021;atire;3;3;5;4;rapproche;1;0;09/12/2021;21/12/2021;12
2021;08/12/2021-22/12/2021;gi;8;10;16;4;rapproche;1;0;08/12/2021;22/12/2021;14
2021;09/12/2021-22/12/2021;ieroue;1;1;1;4;rapproche;1;0;09/12/2021;22/12/2021;13
2021;08/12/2021-21/12/2021;kouare;2;2;3;4;rapproche;1;0;08/12/2021;21/12/2021;13
2021;08/12/2021-21/12/2021;nda;1;1;3;4;rapproche;1;0;08/12/2021;21/12/2021;13
2021;08/12/2021-22/12/2021;nge;11;13;16;4;rapproche;1;0;08/12/2021;22/12/2021;14
2021;09/12/2021-22/12/2021;redika;3;4;4;4;rapproche;1;0;09/12/2021;22/12/2021;13
2021;08/12/2021-21/12/2021;tere;0;0;0;4;rapproche;1;0;08/12/2021;21/12/2021;13
2021;09/12/2021-21/12/2021;ua;1;1;2;4;rapproche;1;0;09/12/2021;21/12/2021;12
2021;08/12/2021-21/12/2021;uaterembi;5;6;8;4;rapproche;1;0;08/12/2021;21/12/2021;13
2021;17/12/2021-29/12/2021;ugo;0;0;0;5;ponctuel;1;1;17/12/2021;29/12/2021;12
2021;26/11/2021-17/12/2021;uie;6;8;11;3;ponctuel;1;0;26/11/2021;17/12/2021;21
2021;18/12/2021-29/12/2021;uie;0;0;1;5;ponctuel;1;1;18/12/2021;29/12/2021;11
2021;26/11/2021-17/12/2021;uo;1;1;1;3;ponctuel;1;0;26/11/2021;17/12/2021;21
2021;18/12/2021-30/12/2021;uo;3;3;3;5;ponctuel;1;1;18/12/2021;30/12/2021;12
2021;09/12/2021-22/12/2021;uatio;2;2;7;4;rapproche;1;0;09/12/2021;22/12/2021;13
2021;08/12/2021-21/12/2021;vua;0;0;8;4;rapproche;1;0;08/12/2021;21/12/2021;13
2021;09/12/2021-22/12/2021;RAPPROCHE_all;37;44;73;4;rapproche;12;0;09/12/2021;22/12/2021;13
2021;22/12/2021-04/01/2022;atire;7;8;11;6;rapproche;1;1;22/12/2021;04/01/2022;13
2021;23/12/2021-05/01/2022;gi;9;11;14;6;rapproche;1;1;23/12/2021;05/01/2022;13
2021;23/12/2021-05/01/2022;ieroue;1;1;1;6;rapproche;1;1;23/12/2021;05/01/2022;13
